subject_code,subject,tik_number,tik_name,tik_classifier_id,uik_count,uik_voting_address_count,missing_uik_voting_address_count,tik_address_present,tik_phone_present,fallback_present,priority_missing_uiks
0,Территория за пределами РФ,99,Территория за пределами РФ,d0cc2fa5-1fbc-4c3d-aa43-1e0051c7f130,312,0,312,0,0,0,312
51,Мурманская область,10,Мурманская,7f472a15-07d6-49d0-a2c2-7e96d3d76e6d,251,0,251,0,0,0,251
50,Московская область,1,Люберцы (122 округ ГД),e8c7809e-54c3-4a4c-a7c7-36b6d7ef92ae,198,0,198,0,0,0,198
50,Московская область,1,Балашиха (118 округ ГД),02ae7869-ec8f-4a68-9e44-c322df71da96,187,0,187,0,0,0,187
50,Московская область,1,Одинцовский (124 округ ГД),5aa3fe19-85ef-4816-95e0-e3659987c6c4,176,0,176,0,0,0,176
50,Московская область,1,Сергиево-Посадский (127 округ ГД),8ae684b2-4c08-4a64-bbd4-7dfaee19c25b,153,0,153,0,0,0,153
25,Приморский край,42,ТИК Морская города Владивостока,528ef28b-a8b5-46ea-9739-b3d64eaf049c,152,0,152,0,0,0,152
50,Московская область,1,Подольск (126 округ ГД),a4ad0962-fb6c-409c-a36b-b3d2a0bb41b3,141,0,141,0,0,0,141
64,Саратовская область,46,Энгельсская,44ff73b4-e8fd-4871-9b53-07f96e4b9fac,138,0,138,0,0,0,138
50,Московская область,6,Красногорск (121 округ ГД),3efdbfed-46d6-45d3-9a9e-480222359b01,133,0,133,0,0,0,133
86,Ханты-Мансийский автономный округ - Югра,18,Сургутская городская,3fe35f80-a4d0-4691-b186-ddf25394ac17,130,0,130,0,0,0,130
25,Приморский край,19,ТИК города Находки,e7ce1729-60da-4ec1-a500-053b7740773e,129,0,129,0,0,0,129
50,Московская область,1,Богородский (129 округ ГД),8401dd74-fd25-4f0e-b7e1-b6d3b7e2192e,129,0,129,0,0,0,129
36,Воронежская область,10,"Воронеж, Коминтерновская",610c583f-fa76-4648-8550-e715318bf23c,128,0,128,0,0,0,128
14,Республика Саха (Якутия),35,Якутская городская,0d46e000-b905-4858-bb75-dccd1c2a89f2,127,0,127,0,0,0,127
50,Московская область,1,Коломна (120 округ ГД),7b804d3f-0f42-4d9c-ab43-5bc9cfd1c7e0,127,0,127,0,0,0,127
63,Самарская область,40,"Тольятти, Автозаводская",2c6df9a1-872a-4421-a6c8-1d0ff4017c3f,127,0,127,0,0,0,127
50,Московская область,1,Орехово-Зуевский (125 округ ГД),6d0aa3b0-3a1f-45be-a2be-2128488b5306,126,0,126,0,0,0,126
50,Московская область,6,Щёлково (129 округ ГД),51079fb4-7a75-412a-8a1b-3465b1ccaa70,125,0,125,0,0,0,125
35,Вологодская область,26,Череповецкая городская,df1cc9fb-7dc0-4db3-ac40-95357442f8c4,121,0,121,0,0,0,121
3,Республика Башкортостан,49,Стерлитамакская городская,001c7598-1571-4d6f-98fa-37dd1e532d11,119,0,119,0,0,0,119
50,Московская область,2,Химки (119 округ ГД),7c58d872-d575-406d-a4fe-548712040d12,119,0,119,0,0,0,119
78,город Санкт-Петербург,216,ТИК № 41(216),9c89b3ef-1559-487b-be1a-16723a38a6f3,152,35,117,0,0,0,117
50,Московская область,3,Пушкинский (127 округ ГД),31cda307-34fd-4945-b6de-53a63518a319,116,0,116,0,0,0,116
28,Амурская область,5,города Благовещенск,8846c698-f804-485a-aefe-feb3dde1741e,115,0,115,0,0,0,115
16,Республика Татарстан (Татарстан),35,"Казань, Советская",6125f9fc-dbcd-4877-91cf-467c9fcffa6d,113,0,113,0,0,0,113
50,Московская область,2,Серпухов (128 округ ГД),f2abbaad-528c-4159-9ca7-2f8e4c0adbf5,110,0,110,0,0,0,110
55,Омская область,33,"Омск, ТИК по Кировскому АО",87bb42fe-4c8d-4bdb-99a4-c414807afd91,107,0,107,0,0,0,107
61,Ростовская область,61,Шахтинская городская,9de7c472-a035-4bd9-a71b-d2ce5c884047,106,0,106,0,0,0,106
25,Приморский край,28,ТИК города Уссурийска,91d096b7-f358-48ce-8848-695ad3e9e3db,105,0,105,0,0,0,105
50,Московская область,1,Дмитровский (119 округ ГД),bb6657e0-4fff-4d57-a4b5-c2e78f2bda71,105,0,105,0,0,0,105
50,Московская область,5,Наро-Фоминский (124 округ ГД),d8f40ee8-1ca2-4b50-82dd-daf0e90942f2,105,0,105,0,0,0,105
63,Самарская область,33,"Самара, Промышленная",cddf8110-c629-4e87-8c25-18fefa140161,104,0,104,0,0,0,104
31,Белгородская область,3,Белгородская районная,9259a087-5e3b-4d90-8628-f22326d5695a,103,0,103,0,0,0,103
38,Иркутская область,2,Ангарская,26a30929-ce35-427e-9a94-e5ced10e9086,103,0,103,0,0,0,103
7,Кабардино-Балкарская Республика,6,Нальчикская городская,0a73f684-fe2e-4a80-91f9-0b5f3f2fb16b,102,0,102,0,0,0,102
50,Московская область,1,Мытищи (123 округ ГД),b1a4cbbd-fab8-4df0-a986-d91e1d565151,102,0,102,0,0,0,102
