subject_code,subject,uik_count,uik_voting_address_count,uik_voting_address_percent,uiks_with_tik_fallback_count,uiks_with_address_or_tik_fallback_count,uiks_missing_address_and_tik_fallback_count,coverage_status
0,Территория за пределами РФ,319,0,0.0,0,0,319,none
1,Республика Адыгея (Адыгея),265,0,0.0,0,0,265,none
2,Республика Алтай,235,0,0.0,0,0,235,none
3,Республика Башкортостан,3249,0,0.0,0,0,3249,none
4,Республика Бурятия,827,0,0.0,0,0,827,none
5,Республика Дагестан,1726,0,0.0,0,0,1726,none
6,Республика Ингушетия,142,0,0.0,0,0,142,none
7,Кабардино-Балкарская Республика,354,0,0.0,0,0,354,none
8,Республика Калмыкия,225,0,0.0,0,0,225,none
9,Карачаево-Черкесская Республика,251,0,0.0,0,0,251,none
10,Республика Карелия,469,34,7.2,0,34,435,partial
11,Республика Коми,581,0,0.0,0,0,581,none
12,Республика Марий Эл,494,491,99.4,0,491,3,partial
13,Республика Мордовия,685,0,0.0,0,0,685,none
14,Республика Саха (Якутия),800,0,0.0,0,0,800,none
15,Республика Северная Осетия - Алания,328,0,0.0,0,0,328,none
16,Республика Татарстан (Татарстан),2741,0,0.0,0,0,2741,none
17,Республика Тыва,187,0,0.0,0,0,187,none
18,Удмуртская Республика,1107,0,0.0,0,0,1107,none
19,Республика Хакасия,370,16,4.3,0,16,354,partial
20,Чеченская Республика,541,0,0.0,0,0,541,none
21,Чувашская Республика - Чувашия,890,0,0.0,0,0,890,none
22,Алтайский край,1673,0,0.0,0,0,1673,none
23,Краснодарский край,2870,0,0.0,0,0,2870,none
24,Красноярский край,2043,41,2.0,0,41,2002,partial
25,Приморский край,1510,0,0.0,0,0,1510,none
26,Ставропольский край,1298,0,0.0,0,0,1298,none
27,Хабаровский край,765,734,95.9,0,734,31,partial
28,Амурская область,714,139,19.5,0,139,575,partial
29,Архангельская область,765,0,0.0,0,0,765,none
30,Астраханская область,572,0,0.0,0,0,572,none
31,Белгородская область,1247,0,0.0,995,995,252,fallback-only
32,Брянская область,1024,0,0.0,0,0,1024,none
33,Владимирская область,939,0,0.0,0,0,939,none
34,Волгоградская область,1395,0,0.0,0,0,1395,none
35,Вологодская область,908,0,0.0,579,579,329,fallback-only
36,Воронежская область,1695,0,0.0,0,0,1695,none
37,Ивановская область,704,0,0.0,0,0,704,none
38,Иркутская область,1894,40,2.1,0,40,1854,partial
39,Калининградская область,598,0,0.0,0,0,598,none
40,Калужская область,704,0,0.0,0,0,704,none
42,Кемеровская область - Кузбасс,1513,0,0.0,1496,1496,17,fallback-only
43,Кировская область,1105,0,0.0,0,0,1105,none
44,Костромская область,448,0,0.0,0,0,448,none
45,Курганская область,772,0,0.0,0,0,772,none
46,Курская область,1052,0,0.0,0,0,1052,none
47,Ленинградская область,1015,0,0.0,1015,1015,0,fallback-only
48,Липецкая область,820,0,0.0,0,0,820,none
49,Магаданская область,93,0,0.0,0,0,93,none
50,Московская область,3972,124,3.1,0,124,3848,partial
51,Мурманская область,577,0,0.0,0,0,577,none
52,Нижегородская область,2317,0,0.0,2313,2313,4,fallback-only
53,Новгородская область,520,0,0.0,0,0,520,none
54,Новосибирская область,1762,0,0.0,0,0,1762,none
55,Омская область,1661,0,0.0,0,0,1661,none
56,Оренбургская область,1379,0,0.0,0,0,1379,none
57,Орловская область,672,0,0.0,0,0,672,none
58,Пензенская область,945,0,0.0,945,945,0,fallback-only
60,Псковская область,567,0,0.0,0,0,567,none
61,Ростовская область,2507,0,0.0,0,0,2507,none
62,Рязанская область,958,0,0.0,0,0,958,none
63,Самарская область,1744,0,0.0,0,0,1744,none
64,Саратовская область,1643,378,23.0,0,378,1265,partial
65,Сахалинская область,438,161,36.8,0,161,277,partial
66,Свердловская область,2266,152,6.7,2266,2266,0,partial
67,Смоленская область,630,0,0.0,0,0,630,none
68,Тамбовская область,807,0,0.0,0,0,807,none
69,Тверская область,1090,0,0.0,0,0,1090,none
70,Томская область,728,0,0.0,0,0,728,none
71,Тульская область,1050,2,0.2,0,2,1048,partial
72,Тюменская область,1069,66,6.2,0,66,1003,partial
73,Ульяновская область,909,0,0.0,0,0,909,none
74,Челябинская область,2198,450,20.5,2198,2198,0,partial
76,Ярославская область,838,26,3.1,0,26,812,partial
77,город Москва,1442,1441,99.9,0,1441,1,partial
78,город Санкт-Петербург,2145,1165,54.3,0,1165,980,partial
79,Еврейская автономная область,160,160,100.0,0,160,0,full
83,Ненецкий автономный округ,54,0,0.0,0,0,54,none
86,Ханты-Мансийский автономный округ - Югра,728,0,0.0,554,554,174,fallback-only
87,Чукотский автономный округ,54,0,0.0,0,0,54,none
89,Ямало-Ненецкий автономный округ,221,0,0.0,109,109,112,fallback-only
90,Пермский край,1777,53,3.0,0,53,1724,partial
91,Камчатский край,194,0,0.0,55,55,139,fallback-only
92,Забайкальский край,805,0,0.0,0,0,805,none
93,Республика Крым,1128,0,0.0,0,0,1128,none
94,город Севастополь,190,0,0.0,0,0,190,none
95,Донецкая Народная Республика,753,0,0.0,0,0,753,none
96,Луганская Народная Республика,651,0,0.0,0,0,651,none
97,Запорожская область,601,0,0.0,0,0,601,none
98,Херсонская область,175,0,0.0,0,0,175,none
